Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
Samsung,Samsung Galaxy M35,Moonlight Blue,Flipkart,24499,15939,8560,34,6,128,6.6,6000,8,50,Dimensity 8350 Processor,4.4,24821,1984
POCO,POCO X7 5G,Yellow,Flipkart,27999,17999,10000,35,8,256,6.67,5500,20,50,Dimensity 7300 Ultra Processor,4.3,13142,1155
vivo,vivo T3 5G,Crystal Flake,Flipkart,22999,16999,6000,26,8,128,6.67,5000,16,50,Dimensity 7200 Processor,4.4,131464,8085
Apple,Apple iPhone 16,White,Flipkart,89900,79999,9901,11,6,128,6.7,4300,12,50,Dimensity 7200 Processor,4.6,3067,171
Samsung,Samsung Guru Music,Blue,Flipkart,1999,930,1069,53,4,64,2,1100,13,108,A18 Chip 6 Core Processor Processor,3.1,3020,180
Tecno,Tecno Pova 6,Azure Sky,Flipkart,15999,9499,6500,40,6,128,6.67,5000,8,50,Dimensity 6300 5G Processor,4.3,3544,202
MOTOROLA,MOTOROLA Edge 60,PANTONE Gibraltar Sea,Flipkart,28999,22999,6000,20,8,256,6.67,5000,32,50,7s Gen 2 Mobile Processor Processor,4.3,7957,670
POCO,POCO C71,Cool Blue,Flipkart,8999,6399,2600,28,4,64,6.88,5200,8,50,Unisoc T7250 Processor,3.9,21407,1080
vivo,vivo T3 5G,Crystal Flake,Flipkart,22999,16999,6000,26,8,128,6.67,5000,16,50,Dimensity 7200 Processor,4.4,131464,8085
realme,realme P3 Ultra,Neptune Blue,Flipkart,31999,22999,9000,28,8,128,6.83,6000,16,50,Dimensity 8350 Ultra Processor,4.4,5684,699
MOTOROLA,MOTOROLA Edge 60,Pantone Dazzling Blue,Flipkart,36999,29999,7000,18,8,256,6.7,6000,12,108,Dimensity 8350 Processor,4.4,11714,1091
POCO,POCO X7 5G,Glacier Green,Flipkart,24999,15999,9000,36,8,128,6.67,5500,20,50,Dimensity 7300 Ultra Processor,4.3,13142,1155
vivo,vivo T3 5G,Crystal Flake,Flipkart,22999,16999,6000,26,8,128,6.67,5000,16,50,Dimensity 7200 Processor,4.4,131464,8085
Samsung,Samsung Galaxy S24,Onyx Black,Flipkart,74999,46999,28000,37,8,128,6.2,4000,12,50,Exynos 2400 Processor,4.6,6901,390
realme,realme GT 6,Razor Green,Flipkart,43999,27999,16000,36,8,256,6.78,5500,32,20,8s Gen 3 Mobile Platform Processor,4.5,3582,370
